SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
215354,5714462,Closed,currency 1,-497,0,-153.0,-153.0,,0,91323.0,0.0,,0.0,Consumer credit,-131,
215354,5714463,Active,currency 1,-208,0,1075.0,,,0,225000.0,171342.0,,0.0,Credit card,-20,
215354,5714464,Active,currency 1,-203,0,528.0,,,0,464323.5,,,0.0,Consumer credit,-16,
215354,5714465,Active,currency 1,-203,0,,,,0,90000.0,,,0.0,Credit card,-16,
215354,5714466,Active,currency 1,-629,0,1197.0,,77674.5,0,2700000.0,,,0.0,Consumer credit,-21,
215354,5714467,Active,currency 1,-273,0,27460.0,,0.0,0,180000.0,71017.38,108982.62,0.0,Credit card,-31,
215354,5714468,Active,currency 1,-43,0,79.0,,0.0,0,42103.8,42103.8,0.0,0.0,Consumer credit,-22,
162297,5714469,Closed,currency 1,-1896,0,-1684.0,-1710.0,14985.0,0,76878.45,0.0,0.0,0.0,Consumer credit,-1710,
162297,5714470,Closed,currency 1,-1146,0,-811.0,-840.0,0.0,0,103007.7,0.0,0.0,0.0,Consumer credit,-840,
162297,5714471,Active,currency 1,-1146,0,-484.0,,0.0,0,4500.0,0.0,0.0,0.0,Credit card,-690,
162297,5714472,Active,currency 1,-1146,0,-180.0,,0.0,0,337500.0,0.0,0.0,0.0,Credit card,-690,
162297,5714473,Closed,currency 1,-2456,0,-629.0,-825.0,,0,675000.0,0.0,0.0,0.0,Consumer credit,-706,
162297,5714474,Active,currency 1,-277,0,5261.0,,0.0,0,7033500.0,,,0.0,Mortgage,-31,
402440,5714475,Active,currency 1,-96,0,269.0,,0.0,0,89910.0,76905.0,0.0,0.0,Consumer credit,-22,
238881,5714482,Closed,currency 1,-318,0,-187.0,-187.0,,0,0.0,0.0,0.0,0.0,Credit card,-185,
238881,5714484,Closed,currency 1,-2911,0,-2607.0,-2604.0,,0,48555.0,,,0.0,Consumer credit,-2601,
238881,5714485,Closed,currency 1,-2148,0,-1595.0,-987.0,,0,135000.0,,,0.0,Consumer credit,-984,
238881,5714486,Active,currency 1,-381,0,,,,0,450000.0,520920.0,,0.0,Consumer credit,-4,
238881,5714487,Active,currency 1,-95,0,1720.0,,,0,67500.0,8131.5,,0.0,Credit card,-7,
